,Acquisition Amount,Acquisition Date,Acquisition Method,Address,Asbestos Survey RFP Group,BTF Recommendation,Bid Price Contractor Amount,Case GTJ Photo Link,Current Status,Current Status Date,Demo Contractor,Demo Contractor Proceed Date,Demo RFP Group,Foreclosure Year,Grant Program,Knock Down Date,NTP Batch,NTP Date,Occupancy Model Last Update,Occupancy Model Probability,Parcel ID,Photo URL,Pipeline,Planned Knock Down Date,Program,Property Ownership,Sold - Auction,Sold - Direct Sale,Sold - Side Lot,Sold Date,Util Cut Status
855,,2014-01-23,Transfer-WCT,17615 Evergreen,,,0.0,http://www.gtjadmin.com/view_assets.asp?id=1929471,Demo Review,2017-03-19,,,,2013,,,,,2017-03-15,14.3120027430898,22096191-2,https://wdwot.s3.amazonaws.com/blexts/000/012/923/blext20131206-32097-12j7iu5.jpg,HHF Demo,,HHF Demo,DLBA Owned,False,False,False,,No Cuts Confirmed
856,,2016-01-15,Transfer-WCT,5769 Radnor,,Structure Removal,0.0,http://www.gtjadmin.com/view_assets.asp?id=2060038,Demo Review,2016-11-11,,,,,,,,,2017-03-15,14.3120027430898,21078390.,https://wdwot.s3.amazonaws.com/blexts/000/551/089/a62a05e402278eb7.jpg?t=1455082411,HHF Demo,,HHF Demo,DLBA Owned,False,False,False,,No Cuts Confirmed
857,,2014-05-09,Transfer-MLB,17623 Evergreen,,,0.0,http://www.gtjadmin.com/view_assets.asp?id=1929472,Demo Review,2017-03-19,,,,2011,,,,,2017-03-15,21.6603211062418,22096189-90,https://wdwot.s3.amazonaws.com/blexts/000/012/936/blext20131206-32097-kjawop.jpg,HHF Demo,,HHF Demo,DLBA Owned,False,False,False,,No Cuts Confirmed
858,,2014-12-04,Transfer-City PDD,635 Kenilworth,,,0.0,,Vacant Land,2016-07-26,,,,2009,,,,,,,03002615.,https://wdwot.s3.amazonaws.com/blexts/000/012/956/blext20131206-32097-1uanshw.jpg,Inventory,,Inventory,DLBA Owned,False,False,False,,No Cuts Confirmed
859,,2015-06-16,Transfer-City PDD,5744 Radnor,,,0.0,,,2016-01-11,,,,2013,,,,,,,21078289.,https://wdwot.s3.amazonaws.com/blexts/000/012/962/blext20131206-17307-1o4yfvm.jpg,Economic Development,,Economic Development,DLBA Owned,False,False,False,,No Cuts Confirmed
860,,2014-12-04,Transfer-City PDD,630 Kenilworth,,,0.0,,Vacant Land,2016-07-26,,,,2006,,,,,,,03002580.,https://wdwot.s3.amazonaws.com/blexts/000/674/581/82d989cbff4e39ec.jpg?t=1476747044,Inventory,,Inventory,DLBA Owned,False,False,False,,No Cuts Confirmed
861,,2015-06-16,Transfer-City PDD,7599 Morgan,,Structure Removal,0.0,,Vacant Land,2016-07-26,,,,,,,,,,,15002499.,https://wdwot.s3.amazonaws.com/blexts/000/378/477/blext.jpg,Inventory,,Inventory,DLBA Owned,False,False,False,,No Cuts Confirmed
862,,2015-01-06,Transfer-WCT,7585 Morgan,,,0.0,,Vacant Land,2016-07-26,,,,2014,,,,,,,15002497.,https://wdwot.s3.amazonaws.com/blexts/000/378/493/blext.jpg,Inventory,,Inventory,DLBA Owned,False,False,False,,No Cuts Confirmed
863,,2015-06-16,Transfer-City PDD,4528 Lodewyck,,,0.0,,For Sale,2016-03-30,,,,2008,,,,,,,21077766.,https://wdwot.s3.amazonaws.com/blexts/000/013/046/blext20131206-17307-y9udr9.jpg,Side Lot,,Side Lot,DLBA Owned,False,False,False,,No Cuts Confirmed
864,,2014-12-04,Transfer-City PDD,17570 Evergreen,,,0.0,,For Sale,2016-03-30,,,,2006,,,,,,,22095771.,https://wdwot.s3.amazonaws.com/blexts/000/013/084/blext20131206-32097-dqf1zn.jpg,Side Lot,,Side Lot,DLBA Owned,False,False,False,,No Cuts Confirmed
865,,2014-12-02,Transfer-MLB,596 Kenilworth,,,0.0,,Vacant Land,2016-07-26,,,,,,,,,,,03002586.,https://wdwot.s3.amazonaws.com/blexts/000/674/577/101f142736679d46.jpg?t=1476747044,Inventory,,Inventory,DLBA Owned,False,False,False,,No Cuts Confirmed
866,,2014-01-23,Transfer-WCT,5776 Radnor,04222014D,Further Analysis,5900.0,http://www.gtjadmin.com/view_assets.asp?id=1873316,,2016-01-11,ABC Demolition,,6c,2013,a07j0000003iIyrAAE,2014-08-15,HHF1 NTP 3,2014-05-14,,,21078293.,https://wdwot.s3.amazonaws.com/blexts/000/013/092/blext20131206-17307-1cvcf4y.jpg,Economic Development,2014-08-29,Economic Development,DLBA Owned,False,False,False,,Double Cut
867,,2015-01-06,Transfer-WCT,590 Kenilworth,,,0.0,,For Sale,2016-03-30,,,,2014,,,,,,,03002587.,https://wdwot.s3.amazonaws.com/blexts/000/674/576/99c5010196a24443.jpg?t=1476747043,Side Lot,,Side Lot,DLBA Owned,False,False,False,,No Cuts Confirmed
868,,2014-05-09,Transfer-MLB,7580 Morgan,,Structure Removal,0.0,,Demo Awaiting Funding,2016-03-28,,,,2011,,,,,2017-03-15,14.3120027430898,15002469.,https://wdwot.s3.amazonaws.com/blexts/000/378/502/blext.jpg,Non-HHF Demo,,Non-HHF Demo,DLBA Owned,False,False,False,,No Cuts Confirmed
869,,2016-01-13,Transfer-WCT,19459 Pennington,50656,,0.0,http://gtjadmin.com/view_assets.asp?id=2042233,,2016-10-18,Timesavers Contracting,,50824,,,2015-09-11,,,,,16026420.,https://wdwot.s3.amazonaws.com/blexts/000/679/538/0d93f70c9cb0ece4.jpg?t=1477627753,,,Side Lot,Formerly DLBA Owned,False,True,False,2016-06-23,Double Cut
