unique_misfit,Count,geoc_address,anon_return,,,,,
WYOMING JEFFRIES FWY,1,,,,,,,
W I 96 - SOUTHFIELD,1,,,,,,,
WYOMING ST,1,,,,,,,
W MCNICHOLS.HARTWELL,1,,,,,,,
MICHIGAN AVE,1,,,,,,,
W OUTER DR TO W I 96,1,,,,,,,
SANDBOX,1,,,,,,,
W OUTER DRKENDALL ST,1,,,,,,,
SANTA CLARA BENTLER ST,1,,,,,,,
MOTOR CITY CASINO 2ND LEVEL PARKING GARAGE,1,,,,,,,
SB LODGE,1,,,,,,,
W. DAV,1,,,,,,,
SB SOUTHFIELD,1,,,,,,,
W.WARREN,1,,,,,,,
SB VAN DYKE,1,,,,,,,
MOTOR CITY HOTEL,1,,,,,,,
SCHAEFER HWY,1,,,,,,,
WARREN - BRACE,1,,,,,,,
SCHAFER,1,,,,,,,
WARREN - STHFLD,1,,,,,,,
SCHAFER DRUGS,1,,,,,,,
WARREN PD,1,,,,,,,
SCHOLCRAFT  WESTWOOD,1,,,,,,,
WARRENCONNER,1,,,,,,,
SCHOOLCRAFT EVERGREEN,1,,,,,,,
WASINGTON. MICHIGAN,1,,,,,,,
SCOTCH CASTLE LIQUR,1,,,,,,,
WAYNE COUNTY,1,,,,,,,
SCT REQ PL PPR,1,,,,,,,
MOTOR CITY PARKING STRUCTURE,1,,,,,,,
SECOND-FOREST,1,,,,,,,
WB,1,,,,,,,
SHELBY,1,,,,,,,
WB GRAND RIVER,1,,,,,,,
SHO20501 STOUT,1,,,,,,,
WB ON GRAND RIVER,1,,,,,,,
SHOE MAKER BUS TERMINAL,1,,,,,,,
MOTORCITY CAS,1,,,,,,,
MICHIGAN AVE - LAFAYETTE,1,,,,,,,
MARKET AREA,1,,,,,,,
MICHIGAN AVE`,1,,,,,,,
WOODARD DETAIL,1,,,,,,,
SINAI,1,,,,,,,
MACK AVE,1,,,,,,,
SINAI GRACE,1,,,,,,,
WOODBRMIRCLES  ST,1,,,,,,,
MARATON,1,,,,,,,
WOODLAND,1,,,,,,,
MICHIGAN- TRUMBULL ST,1,,,,,,,
MARTIN LUTHER KING,1,,,,,,,
SJH,1,,,,,,,
WOODWARD - FOREST,1,,,,,,,
SKATELAND,1,,,,,,,
WOODWARD - GRAND RIVER,1,,,,,,,
MICHIGAN WABASH,1,,,,,,,
MT ELLIOTT,1,,,,,,,
MICHIGAN-HARRISON ST,1,,,,,,,
MUMFORD HIGH SCHOOL,1,,,,,,,
MARGARETA,1,,,,,,,
MACK-MT ELLIOTT,1,,,,,,,
SOUTHFIELD PD,1,,,,,,,
WOODWARD PIQUETTE ST,1,,,,,,,
SOUTHFIELD POLICE DEPARTMENT,1,,,,,,,
WOODWARD STATE,1,,,,,,,
SOUTHFIELD PUMPS,1,,,,,,,
WOOODWARD,1,,,,,,,
MICHIGAN-WABASH,1,,,,,,,
WS,1,,,,,,,
SOUTHFLD - WARREN,1,,,,,,,
MC NICOLHS OAKMAN BLVD,1,,,,,,,
SPRING GARDEN ST,1,,,,,,,
ST CYRIL,1,,,,,,,
X,1,,,,,,,
SAINT ANTOINE ST,1,,,,,,,
SAMARITAN HOSP,1,,,,,,,
RYANANDMCNICHOLS,1,,,,,,,
S GRANDRIVER,1,,,,,,,
